City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.79,89,88,3.13,NZ,1682260633
1,lensk,60.7253,114.9278,-2.17,97,100,3.08,RU,1682260633
2,qaqortoq,60.7167,-46.0333,2.66,66,53,2.06,GL,1682260633
3,badger,64.8,-147.5333,-12.49,60,40,10.29,US,1682260634
4,hermanus,-34.4187,19.2345,21.56,85,99,4.21,ZA,1682260634
5,alice springs,-23.7,133.8833,12.75,76,1,2.57,AU,1682260507
6,wailua homesteads,22.0669,-159.378,20.97,86,75,3.6,US,1682260635
7,tsiombe,-25.3,45.4833,23.76,78,75,2.38,MG,1682260635
8,ushuaia,-54.8,-68.3,7.79,70,20,3.6,AR,1682260636
9,tiksi,71.6872,128.8694,-11.58,95,100,1.84,RU,1682260636
10,avarua,-21.2078,-159.775,22.03,83,22,2.06,CK,1682260637
11,tonj,7.2737,28.6822,26.13,70,99,4.08,SS,1682260637
12,college,64.8569,-147.8028,-12.45,60,40,10.29,US,1682260638
13,tual,-5.6667,132.75,28.22,80,100,5.47,ID,1682260639
14,edinburgh of the seven seas,-37.0676,-12.3116,17.0,72,96,11.97,SH,1682260639
15,port-aux-francais,-49.35,70.2167,4.05,97,100,10.63,TF,1682260639
16,mokopane,-24.1944,29.0097,27.92,16,1,3.04,ZA,1682260640
17,choibalsan,48.0667,114.5,3.88,21,25,2.84,MN,1682260641
18,albany,42.6001,-73.9662,10.73,93,100,3.74,US,1682260641
19,sarayonu,38.262,32.4046,14.79,57,59,5.93,TR,1682260642
20,grytviken,-54.2811,-36.5092,3.31,95,92,4.29,GS,1682260590
21,rio grande,-32.035,-52.0986,24.06,68,94,3.47,BR,1682260642
22,mahibadhoo,3.7833,72.9667,29.37,69,99,4.03,MV,1682260642
23,adamstown,-25.066,-130.1015,24.28,88,100,8.8,PN,1682260642
24,petatlan,17.5167,-101.2667,24.89,61,99,0.95,MX,1682260643
25,bakanas,44.8081,76.2772,18.1,16,96,2.33,KZ,1682260643
26,longyearbyen,78.2186,15.6401,-7.09,68,0,3.09,SJ,1682260644
27,geraldton,-28.7667,114.6,21.23,83,40,4.63,AU,1682260536
28,tambo,-14.8,-73.9167,8.65,51,38,1.95,PE,1682260644
29,las veredas,23.1388,-109.7075,26.04,24,0,1.03,MX,1682260645
30,tazovsky,67.4667,78.7,0.65,98,100,6.61,RU,1682260645
31,tadine,-21.55,167.8833,24.5,80,39,2.18,NC,1682260646
32,iskateley,67.6803,53.1512,-4.76,83,72,6.21,RU,1682260646
33,palikir - national government center,6.9248,158.1611,23.41,94,100,1.54,FM,1682260646
34,thompson,55.7435,-97.8558,-5.91,63,40,2.06,CA,1682260646
35,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,64,75,2.0,RU,1682260512
36,gadzhiyevo,69.2551,33.3362,-1.3,78,78,12.25,RU,1682260647
37,port mathurin,-19.6833,63.4167,26.35,78,72,7.41,MU,1682260647
38,coquimbo,-29.9533,-71.3436,16.85,77,75,1.03,CL,1682260647
39,reggane,26.7158,0.1714,34.64,12,46,5.5,DZ,1682260648
40,iqaluit,63.7506,-68.5145,0.85,86,100,7.6,CA,1682260378
41,vanino,49.0869,140.2543,-0.97,96,97,1.26,RU,1682260648
42,antsiranana,-12.2787,49.2917,25.71,87,64,2.26,MG,1682260649
43,phnom penh,11.5625,104.916,31.95,62,20,2.06,KH,1682260383
44,puerto natales,-51.7236,-72.4875,7.25,65,0,3.09,CL,1682260649
45,nuuk,64.1835,-51.7216,7.34,53,75,3.6,GL,1682260486
46,buritama,-21.0661,-50.1472,26.72,60,1,3.35,BR,1682260650
47,kodiak,57.79,-152.4072,1.73,51,0,3.6,US,1682260650
48,kununurra,-15.7667,128.7333,18.99,82,0,0.0,AU,1682260650
49,puerto ayora,-0.7393,-90.3518,27.98,89,99,5.36,EC,1682260651
50,gaigeturi,33.4644,126.3183,14.03,67,0,5.66,KR,1682260651
51,sinabang,2.4803,96.3801,27.76,80,93,2.31,ID,1682260651
52,le port,-20.9373,55.2919,27.0,99,92,3.89,RE,1682260652
53,new norfolk,-42.7826,147.0587,8.17,61,15,1.6,AU,1682260652
54,puerto real,36.5282,-6.1901,28.07,41,0,6.69,ES,1682260653
55,nabire,-3.3667,135.4833,24.99,92,98,1.13,ID,1682260653
56,olonkinbyen,70.9221,-8.7187,-3.68,63,20,6.47,SJ,1682260653
57,baijiantan,45.6333,85.1833,14.25,22,21,3.09,CN,1682260653
58,blackmans bay,-43.0167,147.3167,7.51,87,27,2.76,AU,1682260653
59,hithadhoo,-0.6,73.0833,29.46,70,94,3.39,MV,1682260654
60,udachny,66.4167,112.4,-9.76,92,100,0.98,RU,1682260654
61,tshabong,-26.05,22.45,29.34,8,12,2.36,BW,1682260654
62,jamestown,42.097,-79.2353,5.77,78,100,6.17,US,1682260654
63,taulaga,-11.0553,-171.0883,28.35,75,90,4.58,AS,1682260655
64,vorgashor,67.5833,63.95,-5.61,94,100,7.94,RU,1682260655
65,luau,-10.7073,22.2247,26.48,72,100,0.76,AO,1682260655
66,olyokminsk,60.3736,120.4264,-5.37,90,64,0.46,RU,1682260655
67,zaraza,9.3503,-65.3245,30.46,59,100,1.47,VE,1682260655
68,ayr,55.4627,-4.6339,13.61,66,75,3.09,GB,1682260655
69,bethel,41.3712,-73.414,13.06,89,100,3.09,US,1682260656
70,isafjordur,66.0755,-23.124,2.02,64,0,6.17,IS,1682260656
71,el obeid,13.1842,30.2167,38.92,12,95,4.01,SD,1682260657
72,miles city,46.4083,-105.8406,-1.46,86,0,0.0,US,1682260657
73,hawaiian paradise park,19.5933,-154.9731,21.13,95,0,3.09,US,1682260657
74,atafu village,-8.5421,-172.5159,28.65,74,56,2.36,TK,1682260657
75,taoudenni,22.6783,-3.9836,36.05,7,0,1.95,ML,1682260657
76,yellowknife,62.456,-114.3525,1.29,64,75,2.57,CA,1682260433
77,port lincoln,-34.7333,135.8667,18.31,76,0,4.78,AU,1682260503
78,broken hill,-31.95,141.4333,16.54,54,0,4.53,AU,1682260505
79,san nicolas,18.1725,120.5953,26.64,75,36,3.04,PH,1682260658
80,al bayda',32.7627,21.7551,20.51,47,0,6.03,LY,1682260658
81,egilsstadir,65.2653,-14.3948,2.95,52,40,3.6,IS,1682260658
82,tobelo,1.7284,128.0095,26.89,83,32,1.56,ID,1682260659
83,imbituba,-28.24,-48.6703,23.81,62,31,3.05,BR,1682260365
84,uturoa,-16.7333,-151.4333,27.66,80,93,8.15,PF,1682260659
85,novyy urgal,51.0736,132.5642,0.45,85,100,1.72,RU,1682260660
86,alaghsas,17.0187,8.0168,39.94,6,0,7.2,NE,1682260660
87,isangel,-19.55,169.2667,24.94,80,34,2.59,VU,1682260661
88,carnarvon,-24.8667,113.6333,22.83,74,98,7.05,AU,1682260661
89,taghazout,30.5426,-9.7112,25.43,68,84,2.01,MA,1682260661
90,vilyuchinsk,52.9306,158.4028,2.15,79,100,3.83,RU,1682260661
91,lisala,2.15,21.5167,25.18,85,100,2.3,CD,1682260661
92,constantia,44.1833,28.65,15.38,63,70,3.23,RO,1682260662
93,hammerfest,70.6634,23.6821,-0.75,86,75,3.6,NO,1682260662
94,santa ana de yacuma,-13.75,-65.4333,26.97,74,75,2.57,BO,1682260662
95,arraial do cabo,-22.9661,-42.0278,26.98,61,20,5.14,BR,1682260663
96,port elizabeth,-33.918,25.5701,25.16,47,20,4.63,ZA,1682260663
97,tabas,33.5959,56.9244,29.59,19,34,1.63,IR,1682260664
98,zheshart,62.0731,49.5733,2.34,56,99,2.65,RU,1682260664
99,stanley,54.868,-1.6985,11.82,82,75,7.2,GB,1682260664
100,papatowai,-46.5619,169.4708,9.23,71,45,9.91,NZ,1682260664
101,east london,-33.0153,27.9116,23.52,60,0,3.09,ZA,1682260664
102,punta arenas,-53.15,-70.9167,6.06,75,0,4.12,CL,1682260665
103,nemuro,43.3236,145.575,1.87,83,63,6.48,JP,1682260556
104,talnakh,69.4865,88.3972,1.23,96,99,5.76,RU,1682260666
105,srivardhan,18.0333,73.0167,27.25,72,1,3.68,IN,1682260666
106,hirara,24.8,125.2833,21.92,88,20,1.54,JP,1682260580
107,saipan,15.1355,145.701,27.58,100,40,7.72,MP,1682260481
108,taskopru,41.5098,34.2141,11.3,87,100,1.72,TR,1682260667
109,huarmey,-10.0681,-78.1522,26.44,72,4,4.12,PE,1682260668
110,klyuchi,52.2667,79.1667,9.87,47,100,6.61,RU,1682260668
111,qa'en,33.7265,59.1844,21.09,28,99,1.25,IR,1682260668
112,kerikeri,-35.2268,173.9474,14.95,92,88,0.45,NZ,1682260669
113,pombas,17.1503,-25.0201,24.88,67,1,7.28,CV,1682260670
114,grand gaube,-20.0064,57.6608,27.22,75,100,0.89,MU,1682260670
115,mohr,54.3528,9.7167,17.3,58,82,4.02,DE,1682260670
116,flying fish cove,-10.4217,105.6791,27.68,78,22,7.68,CX,1682260671
117,howrah,22.5892,88.3103,28.0,65,20,3.09,IN,1682260611
118,queenstown,-31.8976,26.8753,23.19,33,0,3.87,ZA,1682260671
119,manokwari,-0.8667,134.0833,26.11,82,60,0.85,ID,1682260671
120,saint-joseph,-21.3667,55.6167,26.21,82,98,1.72,RE,1682260671
121,west island,-12.1568,96.8225,27.99,78,40,5.66,CC,1682260672
122,el abiodh sidi cheikh,32.893,0.5484,24.09,30,100,4.76,DZ,1682260673
123,aquiraz,-3.9014,-38.3911,31.05,70,88,5.66,BR,1682260673
124,whitehorse,60.7161,-135.0538,1.84,96,100,4.92,CA,1682260673
125,bikenibeu village,1.3673,173.1241,28.0,79,81,6.12,KI,1682260674
126,kerema,-7.9631,145.7785,25.7,90,100,1.69,PG,1682260674
127,luderitz,-26.6481,15.1594,20.16,48,47,5.22,NA,1682260674
128,sisimiut,66.9395,-53.6735,0.93,100,100,3.18,GL,1682260674
129,chiredzi,-21.05,31.6667,30.54,29,45,2.06,ZW,1682260675
130,merizo village,13.2658,144.6691,27.31,91,100,7.1,GU,1682260675
131,leava,-14.3,-178.1667,27.58,78,100,5.72,WF,1682260675
132,concepcion del oro,24.6333,-101.4167,18.21,36,49,2.71,MX,1682260675
133,bredasdorp,-34.5322,20.0403,20.02,74,98,3.02,ZA,1682260676
134,sovetskaya gavan',48.9723,140.2878,-1.05,98,98,1.31,RU,1682260676
135,georgetown,5.4112,100.3354,26.96,83,40,0.0,MY,1682260385
136,naze,28.3667,129.4833,19.51,80,41,6.94,JP,1682260676
137,verkhnevilyuysk,63.4453,120.3167,-12.9,99,49,1.72,RU,1682260676
138,chibougamau,49.9168,-74.3659,5.79,93,100,5.14,CA,1682260677
139,dudinka,69.4058,86.1778,1.46,97,100,7.61,RU,1682260677
140,nova sintra,14.8667,-24.7167,20.13,75,2,9.62,CV,1682260678
141,zhangye,38.9342,100.4517,9.83,58,100,4.44,CN,1682260678
142,kuanda,56.3161,116.0806,-3.49,83,100,2.71,RU,1682260679
143,vila velha,-20.3297,-40.2925,25.97,77,75,5.66,BR,1682260679
144,margaret river,-33.95,115.0667,17.23,74,98,6.28,AU,1682260679
145,st. john's,47.5649,-52.7093,4.88,97,100,11.32,CA,1682260679
146,moranbah,-22.0016,148.0466,18.17,87,68,5.7,AU,1682260679
147,fisterra,42.9049,-9.2629,17.79,92,78,6.44,ES,1682260680
148,bilibino,68.0546,166.4372,-12.61,70,100,3.25,RU,1682260680
149,carutapera,-1.195,-46.02,30.67,62,100,2.62,BR,1682260680
150,san patricio,28.017,-97.5169,25.92,95,100,6.31,US,1682260680
151,invercargill,-46.4,168.35,7.91,77,89,8.83,NZ,1682260680
152,collinsville,38.6703,-89.9846,9.38,50,0,5.14,US,1682260680
153,kipushi,-11.7667,27.2333,20.93,86,100,2.13,CD,1682260681
154,bembereke,10.2283,2.6634,33.33,38,96,0.57,BJ,1682260681
155,la sarre,48.8002,-79.1996,1.23,99,100,2.81,CA,1682260681
156,ishigaki,24.3448,124.1572,22.07,94,36,2.57,JP,1682260395
157,kalisz,51.7611,18.091,17.94,66,67,4.68,PL,1682260681
158,vila franca do campo,37.7167,-25.4333,18.23,87,90,7.29,PT,1682260682
159,san jeronimito,17.55,-101.3333,24.91,88,0,0.0,MX,1682260682
160,namibe,-15.1961,12.1522,27.08,64,25,6.95,AO,1682260682
161,ylitornio,66.3089,23.6773,-0.14,81,100,2.34,FI,1682260682
162,port alfred,-33.5906,26.891,23.43,64,3,3.49,ZA,1682260682
163,selfoss,63.9331,-20.9971,4.46,80,88,3.39,IS,1682260683
164,ati,13.2154,18.3353,41.4,11,58,5.5,TD,1682260683
165,utrik,11.2278,169.8474,26.85,81,92,9.65,MH,1682260683
166,ad darb,17.7229,42.2526,33.13,35,1,3.47,SA,1682260683
167,kangding,30.0513,101.9603,8.07,87,81,1.5,CN,1682260684
168,ust-nera,64.5667,143.2,-11.67,99,100,3.13,RU,1682260686
169,lompoc,34.6391,-120.4579,14.4,87,100,8.49,US,1682260686
170,talitsa,56.8804,60.0213,14.3,59,50,2.93,RU,1682260686
171,remire-montjoly,4.9167,-52.2667,28.02,78,75,2.57,GF,1682260686
172,kawerau,-38.1,176.7,14.65,95,50,2.28,NZ,1682260687
173,argo,37.6333,22.7333,20.44,55,27,1.82,GR,1682260687
174,makoua,0.0069,15.6333,29.86,59,68,1.06,CG,1682260687
175,manturovo,58.3353,44.7619,13.85,55,100,1.56,RU,1682260687
176,nar'yan-mar,67.6713,53.087,-4.7,83,74,6.28,RU,1682260688
177,peniche,39.3558,-9.3811,21.27,82,3,4.19,PT,1682260688
178,saldanha,-33.0117,17.9442,16.41,94,100,5.77,ZA,1682260688
179,champerico,14.3,-91.9167,28.3,61,69,1.22,GT,1682260688
180,fort bragg,35.139,-79.006,19.52,56,0,0.0,US,1682260688
181,kruisfontein,-34.0033,24.7314,22.39,52,75,1.61,ZA,1682260688
182,enewetak,11.3474,162.3373,26.98,80,100,7.78,MH,1682260689
183,kongsvinger,60.1905,11.9977,5.03,77,100,1.63,NO,1682260689
184,trincomalee,8.5711,81.2335,28.8,80,82,5.0,LK,1682260689
185,i-n-salah,27.1935,2.4607,33.46,12,98,8.21,DZ,1682260689
186,mulayjah,27.271,48.4242,32.41,20,50,8.16,SA,1682260690
187,hakui,36.8833,136.7833,10.12,65,45,2.43,JP,1682260624
188,touros,-5.1989,-35.4608,30.07,61,31,6.63,BR,1682260690
189,hoima,1.4356,31.3436,18.54,98,100,1.49,UG,1682260690
190,tabou,4.423,-7.3528,29.48,74,44,4.02,CI,1682260690
191,verkhovazh'ye,60.7472,42.0465,7.79,72,97,3.12,RU,1682260691
192,hamilton,39.1834,-84.5333,7.82,65,100,5.14,US,1682260691
193,muroran,42.3172,140.9881,5.49,71,5,8.15,JP,1682260623
194,newman,37.3138,-121.0208,16.14,83,4,2.26,US,1682260691
195,hassi messaoud,31.6804,6.0729,29.92,16,0,4.63,DZ,1682260692
196,espiye,40.9479,38.7115,12.36,92,100,2.29,TR,1682260692
197,khuzdar,27.7384,66.6434,26.61,6,99,1.34,PK,1682260692
198,general villegas,-35.0328,-63.0125,21.26,37,98,3.49,AR,1682260692
199,colonia,50.9333,6.95,18.79,52,20,4.63,DE,1682260693
200,caninde de sao francisco,-9.66,-37.7894,34.4,28,76,4.44,BR,1682260694
201,yeppoon,-23.1333,150.7333,19.88,66,100,8.93,AU,1682260694
202,praia,14.9215,-23.5087,26.3,53,20,10.8,CV,1682260694
203,uliastay,47.7417,96.8444,0.29,89,100,2.42,MN,1682260694
204,thinadhoo,0.5333,72.9333,29.24,73,100,3.98,MV,1682260694
205,susuman,62.7833,148.1667,-7.13,88,99,6.56,RU,1682260695
206,lebu,-37.6167,-73.65,14.86,72,10,4.26,CL,1682260695
207,tarko-sale,64.9225,77.785,0.79,98,100,4.39,RU,1682260695
208,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1682260695
209,san antonio de pale,-1.4014,5.6325,28.03,74,68,2.31,GQ,1682260695
210,karratha,-20.7377,116.8463,26.68,68,41,2.21,AU,1682260696
211,anadyr,64.75,177.4833,-6.72,86,39,13.0,RU,1682260696
212,gotse delchev,41.5667,23.7333,14.82,64,54,1.9,BG,1682260696
213,bayramaly,37.6185,62.1671,31.86,10,97,4.72,TM,1682260697
214,manay,7.215,126.5397,26.06,85,73,2.84,PH,1682260697
215,oranjemund,-28.55,16.4333,17.73,59,82,4.46,NA,1682260697
216,tolanaro,-25.0319,46.9987,28.04,69,20,7.2,MG,1682260697
217,neryungri,56.6709,124.6491,-12.17,93,100,1.72,RU,1682260587
218,padang,-0.9492,100.3543,26.03,89,100,1.92,ID,1682260698
219,coronel dorrego,-38.7187,-61.2873,18.34,40,0,1.43,AR,1682260698
220,akhtubinsk,48.2795,46.1722,15.29,52,99,3.37,RU,1682260699
221,selkirk,50.1436,-96.8845,2.83,51,85,3.52,CA,1682260699
222,sungailiat,-1.85,106.1333,27.71,78,74,1.86,ID,1682260699
223,puerto rosario,-24.45,-57.0833,25.48,54,0,1.36,PY,1682260700
224,ghormach,35.7306,63.7826,24.31,22,94,3.01,AF,1682260700
225,koppies,-27.2418,27.5742,23.96,16,0,3.11,ZA,1682260700
226,pyetrykaw,52.1289,28.4921,15.06,53,93,1.12,BY,1682260700
227,taltal,-25.4,-70.4833,20.35,68,8,2.33,CL,1682260701
228,ambon,-3.6954,128.1814,28.86,80,20,1.03,ID,1682260701
229,yamada,39.4667,141.95,3.45,58,99,3.08,JP,1682260461
230,lorengau,-2.0226,147.2712,27.25,81,100,2.48,PG,1682260701
231,oodweyne,9.4092,45.064,29.88,37,100,2.05,SO,1682260701
232,arafat,21.3594,39.9664,34.97,32,70,7.44,SA,1682260702
233,haiku-pauwela,20.9219,-156.3051,21.13,88,0,1.54,US,1682260702
234,jutai,-5.1833,-68.9,25.52,86,100,1.03,BR,1682260702
235,puerto santa,-8.9906,-78.6456,25.48,77,99,2.81,PE,1682260703
236,tralee,52.2704,-9.7026,13.14,62,75,3.6,IE,1682260703
237,eyl,7.9803,49.8164,28.95,66,86,7.05,SO,1682260703
238,muntok,-2.0667,105.1833,26.76,83,79,1.65,ID,1682260704
239,pandan,14.0453,124.1694,26.46,87,65,4.07,PH,1682260704
240,lazaro cardenas,17.9583,-102.2,27.38,64,100,0.75,MX,1682260705
241,yuzhno-kurilsk,44.0306,145.8556,1.81,78,60,6.21,RU,1682260705
242,laubach,50.542,8.9903,19.72,61,100,3.84,DE,1682260706
243,asuncion nochixtlan,17.4667,-97.2333,20.63,48,53,1.31,MX,1682260706
244,takai,11.5833,9.1167,39.58,17,75,4.67,NG,1682260706
245,galliano,29.4422,-90.2992,23.0,60,0,3.6,US,1682260706
246,judenburg,47.1667,14.6667,17.4,45,75,4.12,AT,1682260706
247,turpan,42.9333,89.1667,18.28,21,10,2.34,CN,1682260707
248,peace river,56.2501,-117.286,4.25,91,100,3.09,CA,1682260707
249,villa regina,-39.1,-67.0667,21.19,39,0,6.83,AR,1682260707
250,xilin hot,43.9667,116.0333,5.51,21,98,3.08,CN,1682260581
251,tucumcari,35.1717,-103.725,7.19,60,0,1.54,US,1682260708
252,juhaynah,26.6732,31.4976,32.18,18,100,3.0,EG,1682260708
253,malvan,16.0667,73.4667,27.89,68,1,5.72,IN,1682260709
254,taksimo,56.3444,114.8794,-3.42,75,100,2.47,RU,1682260709
255,zaozersk,69.4005,32.4476,-1.36,77,87,11.52,RU,1682260709
256,tarauaca,-8.1614,-70.7656,26.02,86,98,1.24,BR,1682260710
257,yokadouma,3.5167,15.05,32.59,38,100,1.63,CM,1682260710
258,hadibu,12.65,54.0333,28.61,73,30,1.51,YE,1682260710
259,papao,-17.75,-149.55,27.82,83,96,9.16,PF,1682260711
260,usogorsk,63.4106,48.6872,-0.65,73,88,2.4,RU,1682260711
261,sao vicente,-23.9631,-46.3919,29.04,65,40,2.06,BR,1682260711
262,nadi,-17.8,177.4167,23.0,83,20,3.09,FJ,1682260712
263,la mira,18.035,-102.3266,27.34,62,100,1.22,MX,1682260712
264,minas de marcona,-15.2119,-75.1103,21.53,61,19,4.3,PE,1682260712
265,la ronge,55.1001,-105.2842,-0.86,51,75,2.57,CA,1682260712
266,shevchenko,48.5,35.0,15.48,51,100,3.4,UA,1682260713
267,rosa zarate,0.3333,-79.4667,25.74,82,100,1.3,EC,1682260713
268,ocho rios,18.4025,-77.1048,29.33,62,0,2.11,JM,1682260713
269,lucena,13.9314,121.6172,27.83,87,53,3.73,PH,1682260668
